timestamp,"market_cap-weighted (max_weight=0.05, min_volume=1000000)","market_cap-weighted (max_weight=0.05, min_volume=10000000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.1, min_volume=10000000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000000)"
1383307200000,100.0,100.0,100.0,100.0,100.0,100.0
1383393600000,100.0,100.0,100.0,100.0,100.0,100.0
1383480000000,100.0,100.0,100.0,100.0,100.0,100.0
1383566400000,100.0,100.0,100.0,100.0,100.0,100.0
1383652800000,100.0,100.0,100.0,100.0,100.0,100.0
1383739200000,100.0,100.0,100.0,100.0,100.0,100.0
1383825600000,100.0,100.0,100.0,100.0,100.0,100.0
1383912000000,100.0,100.0,100.0,100.0,100.0,100.0
1383998400000,100.0,100.0,100.0,100.0,100.0,100.0
1384084800000,100.0,100.0,100.0,100.0,100.0,100.0
1384171200000,100.0,100.0,100.0,100.0,100.0,100.0
1384257600000,100.0,100.0,100.0,100.0,100.0,100.0
1384344000000,100.0,100.0,100.0,100.0,100.0,100.0
1384430400000,100.0,100.0,100.0,100.0,100.0,100.0
1384516800000,100.0,100.0,100.0,100.0,100.0,100.0
1384603200000,100.0,100.0,100.0,100.0,100.0,100.0
1384689600000,100.0,100.0,100.0,100.0,100.0,100.0
1384776000000,100.0,100.0,100.0,100.0,100.0,100.0
1384862400000,100.0,100.0,100.0,100.0,100.0,100.0
1384948800000,100.0,100.0,100.0,100.0,100.0,100.0
1385035200000,100.0,100.0,100.0,100.0,100.0,100.0
1385121600000,100.0,100.0,100.0,100.0,100.0,100.0
1385208000000,100.0,100.0,100.0,100.0,100.0,100.0
1385294400000,100.0,100.0,100.0,100.0,100.0,100.0
1385380800000,100.0,100.0,100.0,100.0,100.0,100.0
1385467200000,100.0,100.0,100.0,100.0,100.0,100.0
1385553600000,100.0,100.0,100.0,100.0,100.0,100.0
1385640000000,100.0,100.0,100.0,100.0,100.0,100.0
1385726400000,100.0,100.0,100.0,100.0,100.0,100.0
1385812800000,100.0,100.0,100.0,100.0,100.0,100.0
1385899200000,100.0,100.0,100.0,100.0,100.0,100.0
1385985600000,100.0,100.0,100.0,100.0,100.0,100.0
1386072000000,100.0,100.0,100.0,100.0,100.0,100.0
1386158400000,100.0,100.0,100.0,100.0,100.0,100.0
1386244800000,100.0,100.0,100.0,100.0,100.0,100.0
1386331200000,100.0,100.0,100.0,100.0,100.0,100.0
1386417600000,100.0,100.0,100.0,100.0,100.0,100.0
1386504000000,100.0,100.0,100.0,100.0,100.0,100.0
1386590400000,100.0,100.0,100.0,100.0,100.0,100.0
1386676800000,100.0,100.0,100.0,100.0,100.0,100.0
1386763200000,100.0,100.0,100.0,100.0,100.0,100.0
1386849600000,100.0,100.0,100.0,100.0,100.0,100.0
1386936000000,100.0,100.0,100.0,100.0,100.0,100.0
1387022400000,100.0,100.0,100.0,100.0,100.0,100.0
1387108800000,100.0,100.0,100.0,100.0,100.0,100.0
1387195200000,100.0,100.0,100.0,100.0,100.0,100.0
1387281600000,100.0,100.0,100.0,100.0,100.0,100.0
1387368000000,100.0,100.0,100.0,100.0,100.0,100.0
1387454400000,100.0,100.0,100.0,100.0,100.0,100.0
1387540800000,100.0,100.0,100.0,100.0,100.0,100.0
1387627200000,100.0,100.0,100.0,100.0,100.0,100.0
1387713600000,100.0,100.0,100.0,100.0,100.0,100.0
1387800000000,100.0,100.0,100.0,100.0,100.0,100.0
1387886400000,100.0,100.0,100.0,100.0,100.0,100.0
1387972800000,100.0,100.0,100.0,100.0,100.0,100.0
1388059200000,100.0,100.0,100.0,100.0,100.0,100.0
1388145600000,107.80438468,112.137658838,107.80438468,112.137658838,107.80438468,112.137658838
1388232000000,109.572612076,108.220156897,109.572612076,108.220156897,109.572612076,108.220156897
1388318400000,105.93782891,102.372131518,105.93782891,102.372131518,105.93782891,102.372131518
1388404800000,113.023348281,109.448122728,113.023348281,109.448122728,113.023348281,109.448122728
1388491200000,114.462920098,109.050297093,114.462920098,109.050297093,114.462920098,109.050297093
1388577600000,121.326211319,113.734256185,121.326211319,113.734256185,121.326211319,113.734256185
1388664000000,133.512129213,114.575232601,133.512129213,114.575232601,133.512129213,114.575232601
1388750400000,150.873106579,131.280758882,150.873106579,131.280758882,152.456601334,131.280758882
1388836800000,144.233962994,129.968369725,144.233962994,129.968369725,145.74777635,129.968369725
1388923200000,153.092870985,138.229825248,153.092870985,138.229825248,154.699663366,138.229825248
1389009600000,174.842817074,170.284007509,174.842817074,170.284007509,176.677886889,170.284007509
1389096000000,158.535645366,153.340940893,158.535645366,153.340940893,160.199562604,153.340940893
1389182400000,138.335491918,131.394130394,138.335491918,131.394130394,139.787397634,131.394130394
1389268800000,133.707322356,125.747430318,133.707322356,125.747430318,135.110652933,125.747430318
1389355200000,132.84611231,124.959877872,132.84611231,124.959877872,134.240404022,124.959877872
1389441600000,152.596214504,142.559980375,152.596214504,142.559980375,154.197794208,142.559980375
1389528000000,141.273064621,130.402934633,141.273064621,130.402934633,142.75580175,130.402934633
1389614400000,133.547179372,122.436445215,133.547179372,122.436445215,134.948829161,122.436445215
1389700800000,133.744089922,123.13994085,133.744089922,123.13994085,135.147806394,123.13994085
1389787200000,153.816533562,129.839874884,153.816533562,129.839874884,155.430921173,129.839874884
1389873600000,151.05412883,127.085127172,151.05412883,127.085127172,152.639523511,127.085127172
1389960000000,144.516033831,119.855158513,144.516033831,119.855158513,146.032807673,119.855158513
1390046400000,152.360586634,122.742433778,152.360586634,122.742433778,153.959693296,122.742433778
1390132800000,165.640855297,121.421808093,165.640855297,121.421808093,167.379345552,121.421808093
1390219200000,190.777409088,133.563436155,190.777409088,133.563436155,192.779721054,133.563436155
1390305600000,227.238459217,169.895692372,227.238459217,169.895692372,229.6234496,169.895692372
1390392000000,227.762427957,161.210979695,227.762427957,161.210979695,209.165119688,161.210979695
1390478400000,220.262206156,161.277658273,220.262206156,161.277658273,202.277307661,161.277658273
1390564800000,200.943437249,141.078138453,200.943437249,141.078138453,184.535959156,141.078138453
1390651200000,218.683779621,150.293549213,218.683779621,150.293549213,200.827763159,150.293549213
1390737600000,236.116101646,163.352828156,236.116101646,163.352828156,213.61386005,163.352828156
1390824000000,232.740663623,163.835136124,232.740663623,163.835136124,210.560106661,163.835136124
1390910400000,207.964912909,147.375389972,207.964912909,147.375389972,188.145524561,147.375389972
1390996800000,209.053632336,150.523609747,209.053632336,150.523609747,189.130487288,150.523609747
1391083200000,209.998070415,146.101722644,209.998070415,146.101722644,189.98491891,146.101722644
1391169600000,218.900836935,151.110120085,218.900836935,151.110120085,198.039237561,151.110120085
1391256000000,232.716518318,159.232073736,232.716518318,159.232073736,210.538262443,159.232073736
1391342400000,227.345856418,156.138610825,227.345856418,156.138610825,205.679433199,156.138610825
1391428800000,213.720534153,148.219678831,213.720534153,148.219678831,193.352625908,148.219678831
1391515200000,231.4235107,154.003220091,231.4235107,154.003220091,209.368480516,154.003220091
1391601600000,289.879577498,153.622156004,289.879577498,153.622156004,262.253590785,153.622156004
1391688000000,269.231113135,143.642624217,269.231113135,143.642624217,243.572958055,143.642624217
1391774400000,232.090456243,119.545180413,232.090456243,119.545180413,209.971865083,119.545180413
1391860800000,233.058392939,119.308129168,233.058392939,119.308129168,210.847555866,119.308129168
1391947200000,232.097923977,113.249221134,232.097923977,113.249221134,209.97862113,113.249221134
1392033600000,207.62757004,95.1814217406,207.62757004,95.1814217406,187.840331006,95.1814217406
1392120000000,256.960922925,112.647390632,256.960922925,112.647390632,225.330113732,112.647390632
1392206400000,241.634110904,99.2995463867,241.634110904,99.2995463867,211.889967827,99.2995463867
1392292800000,234.860804795,96.9516216001,234.860804795,96.9516216001,205.950427222,96.9516216001
1392379200000,262.594847651,89.4619257674,262.594847651,89.4619257674,196.591120622,89.4619257674
1392465600000,271.91321139,93.1989706992,271.91321139,93.1989706992,198.619682088,93.1989706992
1392552000000,252.985718605,93.2607004459,252.985718605,93.2607004459,184.794047871,93.2607004459
1392638400000,243.646083473,94.2253921828,243.646083473,94.2253921828,177.971888141,94.2253921828
1392724800000,225.750797932,89.1941338972,225.750797932,89.1941338972,164.900232273,89.1941338972
1392811200000,226.959553817,86.3746199791,226.959553817,86.3746199791,165.783171018,86.3746199791
1392897600000,196.825799357,79.0685988587,196.825799357,79.0685988587,143.771895066,79.0685988587
1392984000000,186.881402798,73.4785774116,186.881402798,73.4785774116,136.507985847,73.4785774116
1393070400000,183.216714261,72.0886562108,183.216714261,72.0886562108,133.831104983,72.0886562108
1393156800000,203.867487868,83.1118806118,203.867487868,83.1118806118,148.915513967,83.1118806118
1393243200000,234.852286763,72.3103627122,234.852286763,72.3103627122,171.548437445,72.3103627122
1393329600000,193.634657733,57.023958331,193.634657733,57.023958331,141.440917724,57.023958331
1393416000000,217.87740238,66.942224749,217.87740238,66.942224749,159.149090895,66.942224749
1393502400000,220.388233745,66.2709858165,220.388233745,66.2709858165,160.983133915,66.2709858165
