timestamp,"market_cap-weighted (max_weight=0.1, min_volume=10000)","market_cap-weighted (max_weight=0.1, min_volume=100000)","market_cap-weighted (max_weight=0.1, min_volume=1000000)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=0.2, min_volume=100000)","market_cap-weighted (max_weight=0.2, min_volume=1000000)","market_cap-weighted (max_weight=0.3, min_volume=10000)","market_cap-weighted (max_weight=0.3, min_volume=100000)","market_cap-weighted (max_weight=0.3, min_volume=1000000)"
1452168000000,41.1812991278,587.302273261,713.539829809,41.0993645305,83.4718882056,500.194728538,34.8978369047,50.5920018071,210.926460708
1452254400000,41.2930220412,607.289870786,724.496327756,41.2942284066,83.9474616508,507.875284391,35.1073360866,50.8956593537,214.165264257
1452340800000,42.7250026354,686.482765848,793.913513574,41.7030961577,86.8140287037,556.537053455,35.1062973049,50.9532311468,231.97959403
1452427200000,41.62422452,664.359415563,775.169324888,41.0086788219,84.4400386383,543.397290291,34.5019503702,50.1375995739,226.502587772
1452513600000,42.5427063111,678.17120509,786.469568242,41.6817010919,86.2129755057,551.318813269,34.9550713207,50.7905294001,229.804491344
1452600000000,44.4961362803,745.771865139,883.397047387,43.1100115802,89.797381631,619.265425487,35.7099317135,51.8941686712,246.937626309
1452686400000,44.5269703397,755.349833898,877.272396549,41.859673269,87.2872957465,614.972016857,34.3818779583,49.8329700753,237.341760468
1452772800000,45.9693655877,776.943488161,883.34333761,42.3557617208,88.0584631256,619.227774685,34.5913640282,49.9137319576,238.984223909
1452859200000,45.2948349589,729.757807644,879.431761025,41.7276076766,87.0110372055,616.485741365,33.4494346683,48.3366742607,237.925965976
1452945600000,42.481373835,691.328359139,847.928773848,38.5416714256,81.1017204699,594.402001312,30.384551645,44.0293959417,220.669948885
1453032000000,42.7074341519,690.347451353,858.812337085,38.6840394895,80.9241242019,602.031429595,30.7373549948,44.3839235749,223.502351108
1453118400000,44.1353586092,737.978262886,910.67144266,40.7752478129,86.7198416243,638.384903013,32.1339781,46.7970755651,236.998468387
