timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: market_cap-weighted (max_weight=1, min_volume=0)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=100000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","Daily balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","Daily balanced: volume-weighted (max_weight=1, min_volume=0)",Bitcoin
1482926400000,1930309.06241,5006.2996072,109.003805113,17.405204492,5380.6635269,32754793.1205,52323.7370391,611.952888037,17.405204492,110327.043377,28531.9221459,94817.8560283,12528996.4937,679.539181879,5454.01959196,99908866719.9,24616882960.6,77720218.8347,673.882594483,169607.385375,669.363820431
1483012800000,1950242.53335,5073.47282065,109.846584671,17.9758426223,5574.06143008,33181511.2933,53101.9069952,616.644792462,17.9758426223,114210.179355,30030.1438852,99620.9288686,13170083.482,713.958429853,5677.81499891,104127723641.0,25679925596.3,81055548.1772,708.015331407,176997.390772,681.816635647
1483099200000,1934882.66197,5040.14280654,109.169849701,19.1239324441,5229.91711973,33066875.9789,52941.8783452,615.460898699,19.1239324441,107286.994736,29915.9310586,99226.996234,13120050.406,722.565008152,5363.65117156,104546982440.0,25816861527.8,81689904.3711,716.550267241,169037.813713,659.987645046
1483185600000,1945539.11498,5053.09968166,109.583326959,18.8294853603,5302.60730337,32896989.9137,52540.4927784,617.469799908,18.8294853603,108622.601596,30175.1555164,99964.0461087,13109032.07,719.7329239,5434.81411913,104133395308.0,25680040920.0,81094521.7386,713.741757689,170469.877971,664.726684814
1483272000000,1999874.33958,5195.1512711,112.713454966,19.5422792534,5565.34409068,33832760.5849,54027.20572,634.462959405,19.5422792534,113789.266832,31052.6000993,102959.3828,13581115.0084,748.226158012,5693.36095316,106710611693.0,26332344268.2,83820948.4536,741.997809791,177529.415184,681.539337031
1483358400000,2057391.05029,5347.60535827,115.856153984,20.4109611586,6146.54848428,34994618.3961,55942.7997995,651.201287362,20.4109611586,125348.282578,31746.403416,105292.156204,13994046.5479,782.001790625,6237.77644198,110063466831.0,27143854731.3,86301881.7884,775.492288906,193201.760189,718.398431535
1483444800000,2087323.79236,5423.1195735,117.58743495,21.8457642664,6165.22622067,35497119.427,56782.1269391,660.924027473,21.8457642664,125902.074767,32877.3423827,109490.459535,14663792.3435,828.182955239,6286.61614227,115753546596.0,28578170799.2,91174091.4658,821.28903449,196806.482757,719.365046021
1483531200000,2327823.70428,6028.51647508,130.047588348,24.9197102862,6861.39328824,39704404.3522,63303.0068491,730.384872506,24.9197102862,140244.195639,36833.2914393,122654.435904,16458409.9361,936.834290571,7029.3238017,129225851635.0,31905822477.5,101691673.481,929.035939599,221986.186709,760.358533317
1483617600000,2306624.08195,5972.83892436,129.141739269,24.5470968724,7143.98211765,39439131.4968,62948.537621,726.587471263,24.5470968724,145901.546066,37502.2079986,124853.169354,16772712.6359,955.886425336,7307.49086794,131874362764.0,32563284597.8,104093340.257,947.929481499,230339.425841,776.92363811
1483704000000,1931696.08407,5001.66880084,108.593962363,19.4686674951,4413.42920066,33033563.653,52798.1409276,613.25631274,19.4686674951,90061.480101,31133.599148,103673.87425,13879856.5,801.379838368,4714.06366022,110464557016.0,27190341176.1,86760489.423,794.709030836,150543.900482,623.71650786
1483790400000,1879240.95989,4886.55667692,106.037218904,19.6708032376,4303.64504817,32224475.1314,51592.2444084,601.167843618,19.6708032376,87780.088072,30573.2413399,101451.261405,13527425.5051,790.580968337,4605.65438385,108145044992.0,26556164455.5,84630217.9327,784.00005224,147046.049917,615.883023981
1483876800000,1958151.54486,5084.02360775,109.943505619,20.4014686579,4658.74868467,33603166.8463,53828.6941518,625.750221511,20.4014686579,94773.3652955,31866.6201875,105482.889576,14101580.1298,819.198048295,4960.25303755,113681607464.0,27909152823.5,89131975.948,812.378919276,157998.900254,641.985190147
1483963200000,1934098.09904,5021.78027445,108.694086163,19.9932254361,4527.27546806,33033539.1315,52885.7561864,617.12974907,19.9932254361,92279.5703194,31964.8174691,105445.493924,14086713.5414,828.908067794,4850.78575064,114604332375.0,28037124323.8,89283156.4804,822.008111098,155694.41926,632.690270412
1484049600000,1980510.08481,5138.31842896,111.167440056,20.1739090642,4557.05633912,33702595.8302,53863.7131752,625.829326728,20.1739090642,93783.4316674,32398.6830923,107052.837994,14461258.6055,857.099563778,4885.41794387,118298000726.0,28882946574.9,91751444.0735,849.964936786,157977.096498,634.235887384
1484136000000,1857250.63887,4808.07509008,104.292120951,18.9914159478,3841.89105077,31466763.7773,50227.2047966,585.195050881,18.9914159478,79676.0323588,30019.6058622,99215.274956,13417199.9823,776.736415628,4175.12520883,109743872827.0,26766086855.1,85156018.4812,770.270743691,136606.753721,582.698979066
1484222400000,1756159.00245,4534.08991004,98.3809216178,17.9160433727,3226.78724788,29744375.9407,47400.242355,552.496355175,17.9160433727,67406.3099677,27868.7854065,92107.8728829,12440392.3472,699.092405486,3549.63800914,101716398851.0,24777906239.1,78597032.381,693.273054086,117278.687464,534.06134559
1484308800000,1828716.42775,4725.88695687,102.533207195,18.7081528325,3534.83582561,30976754.6932,49379.2770056,575.488599484,18.7081528325,73706.3845692,29502.3262158,96929.2649279,12936831.8953,750.184952556,3875.6705509,107800750670.0,26203034543.5,82636094.7112,743.940299031,127486.68114,560.592518107
1484395200000,1876483.6762,4849.65564141,105.047676781,19.2109014387,3790.32751617,32103662.1368,51277.9606788,590.328438063,19.2109014387,78648.160374,30291.815632,99436.1447716,13219990.8714,775.359287239,4129.39755481,110521687917.0,26694916547.1,83770994.4843,768.905078728,134580.648259,581.487772225
1484481600000,1904453.22338,4882.00751005,105.27744765,19.3379169422,3692.39571411,33421942.8031,53415.8670783,593.164799219,19.3379169422,77025.0967033,30396.3810867,99799.2598597,13059532.6271,774.028213749,4040.35030056,114466322823.0,27618625279.1,84781655.7029,767.585085296,134453.83728,573.33708732
1484568000000,1912605.24,4905.45929937,105.874005139,19.4727757977,3830.29964504,33662879.487,53733.8804547,598.149567525,19.4727757977,77715.5433685,30339.6937065,99425.9912548,13029113.2935,768.552896043,4171.28331279,114136776341.0,27486091775.9,84597937.1143,762.155344966,134923.836373,576.229428119
1484654400000,2007832.26243,5116.24846658,110.65183333,20.6258634608,4354.43175014,35092792.739,55648.1865042,624.981570119,20.6258634608,87691.9106655,31857.0318608,104312.60581,13663471.8827,829.437400203,4698.79257092,120165839522.0,28954781305.5,89351670.8426,822.533037263,149853.257613,617.206365623
1484740800000,2076649.39521,5277.82787433,113.83584455,21.286624447,4540.54009947,36261812.9046,57602.3151392,643.288722187,21.286624447,91406.3802877,33077.4356875,108439.589467,14272999.9152,866.730549723,4897.58762951,125170093591.0,30135826862.3,92827657.833,859.515752941,156285.512797,630.453333187
1484827200000,2045068.17619,5192.85395218,112.001052049,21.0821392771,4419.82559262,35753543.7187,56639.6228503,633.852088301,21.0821392771,89039.5778369,32741.4383205,107026.394918,13919484.5251,843.531861994,4781.08530161,130755000495.0,31485202473.0,90994292.1685,836.510174613,154783.09623,622.016057029
1484913600000,2068454.21688,5252.78241606,113.346829299,21.3665010107,4427.69729191,36381071.4029,57526.9368247,640.990988746,21.3665010107,89298.8229176,33147.3643979,108463.738132,14256624.8068,858.472128015,4800.34248731,137527270638.0,32877660298.5,96154258.4464,851.32607559,157532.09924,622.467850251
1485000000000,2107298.00161,5330.12068734,114.816306326,21.6790393157,4742.67372829,36935082.5397,58258.0143942,649.075801957,21.6790393157,95545.5817616,34200.7275136,111670.595161,14827038.593,921.949840686,5118.21968192,142480222676.0,33972846229.9,101312875.532,914.275390136,167454.205623,645.481314553
1485086400000,2127049.89313,5372.60600143,115.771125747,22.0215944095,4813.76077587,37264920.4411,58750.4931103,654.769766121,22.0215944095,97011.6523577,34760.7970946,113097.512671,15045857.7451,936.482344475,5197.34030003,143151798161.0,34061317807.6,101498544.343,928.686923155,169585.177386,650.461570973
1485172800000,2099406.83106,5313.69679297,114.518511651,21.594591109,4751.12775412,36836887.9615,58197.0749256,647.181153526,21.594591109,95731.0549625,34647.3963263,112542.775022,14881291.5517,911.402306426,5136.85327617,143323783523.0,33705472886.0,100200659.568,903.815655153,167853.319298,646.190319344
