timestamp,"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=0.1, min_volume=100000)","volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=100000)","volume-weighted (max_weight=0.3, min_volume=100000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=100000)"
1385899200000,825.262827717,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1385985600000,771.755714179,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386072000000,824.338542842,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386158400000,884.643181651,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386244800000,679.612842,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386331200000,746.699684456,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386417600000,463.91883563,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386504000000,439.782212267,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386590400000,561.535079986,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386676800000,602.756787018,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386763200000,561.47900796,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386849600000,540.780531144,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1386936000000,574.657780658,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387022400000,525.649548941,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387108800000,482.938075308,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387195200000,477.28279688,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387281600000,344.8572241,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387368000000,172.077105743,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387454400000,246.82030029,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387540800000,269.294478641,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387627200000,235.885154154,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387713600000,250.007151741,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387800000000,240.993370735,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387886400000,255.90676648,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1387972800000,266.68190841,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1388059200000,302.472599753,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1388145600000,329.178042448,108.853570118,113.071100595,109.705796056,110.734074099,109.757510959,111.448522141,111.515781846
1388232000000,332.890856957,110.351721731,113.579254,110.395990151,111.663162843,109.594759072,108.140080222,108.219363236
1388318400000,311.288464229,102.902515012,102.645028014,103.128089433,102.415267083,102.331858835,102.926112763,102.893467664
1388404800000,328.813698589,108.781191391,112.640493744,109.858866716,109.368641128,109.321402106,110.236557927,110.251158006
1388491200000,325.625936629,107.666885411,117.952275749,112.867496896,112.434954335,111.232272958,110.449265226,110.373783129
1388577600000,341.119212243,112.948039713,129.539834564,119.950833776,120.803311277,117.909456422,115.337696152,115.42445193
1388664000000,352.218264035,116.592564224,145.664493284,130.620091748,132.471109214,127.695875792,123.279198878,123.614318981
1388750400000,378.611450823,125.369607202,157.598823105,147.489729523,149.950108168,144.464769131,139.138077675,139.649472446
1388836800000,366.207417975,121.278863455,147.372604968,140.070279257,141.911815321,138.977951906,136.197827409,136.690906684
1388923200000,381.923410831,126.574049852,149.818862337,146.605470426,148.756952784,147.151103707,146.66520296,147.364711733
1389009600000,419.541165949,139.022620977,158.671092055,164.23568316,166.053883967,170.391756694,178.666253205,179.63356917
1389096000000,383.091558773,126.833274407,144.621124855,151.286331231,151.086701713,154.409506317,158.295840053,158.890041287
1389182400000,330.593143103,109.571094159,131.253609629,132.983237181,133.667270121,134.524792423,136.3251017,136.874066248
1389268800000,328.397020907,108.995688305,137.891119124,130.757570044,133.178797716,131.314884088,130.343360276,130.900727134
1389355200000,332.149566943,110.45406342,144.885071058,134.128090324,138.866059986,133.149068442,130.043704305,130.593771468
1389441600000,369.060270702,122.749320783,162.532950728,150.578891404,156.128635821,150.245474225,149.230353393,149.896343208
1389528000000,332.708505866,110.518114438,148.805738522,137.848401438,143.046711061,137.791849079,135.902334433,136.549511197
1389614400000,317.899077187,105.865053828,140.177261279,130.597393768,135.060582787,129.899584786,127.005063935,127.548141514
1389700800000,313.167385791,104.339087802,139.632494568,129.13426688,134.7409881,129.966027001,127.696228548,128.431323483
1389787200000,335.048032876,111.698812754,152.562357105,141.063275326,149.044372747,141.730968388,135.395093202,136.341969576
1389873600000,326.937433812,108.887163881,143.164647372,138.212261287,144.212324581,137.819217959,132.710184657,133.374482932
1389960000000,311.651241726,103.873487652,133.347308873,131.805458713,137.63132913,131.567702748,125.939019883,126.580948543
1390046400000,318.9719209,106.462610313,141.187648596,139.002003955,145.567143283,138.000009912,129.393102281,130.16215388
1390132800000,325.557694813,108.919682938,153.054205773,150.960991029,159.143187673,149.350019755,135.663085834,136.658181792
1390219200000,356.036481147,119.127233646,171.777525979,175.325956186,184.231885292,177.530734512,155.064177666,156.234791464
1390305600000,369.505936833,123.833033041,213.461651355,211.498084628,224.651765916,214.583935484,186.670890476,188.451974878
1390392000000,343.960344986,115.075684867,230.069271424,212.481517214,226.039688135,207.037526003,180.139212258,181.24133597
1390478400000,345.827599438,115.757393661,218.983692939,206.617432454,216.313833765,200.00236256,176.865180623,177.25696861
1390564800000,308.438031239,103.279043078,189.406278559,189.985818361,196.605954596,183.514333317,158.422458451,158.455768383
1390651200000,331.605788368,111.12227903,210.498402666,206.409023091,214.386035493,197.301800584,169.654239872,169.642559975
1390737600000,354.145823835,118.663845482,243.584429526,225.141889587,233.76315498,214.905086859,184.994603589,184.945217745
1390824000000,357.570366452,119.886060564,272.970767512,236.398762288,247.418836083,221.73790816,188.728448833,188.78852835
1390910400000,323.073949251,108.300039389,222.116958501,207.336962617,216.561078657,195.937444748,166.068353574,166.099851668
1390996800000,326.439743721,109.37718724,232.986154973,209.075882694,217.619817997,197.46547644,168.704875091,168.670015104
1391083200000,312.707004989,104.751929485,228.028761934,206.419327565,215.497322116,196.159328954,165.093881622,165.21975113
1391169600000,333.347559787,111.592440657,230.278299749,214.596164565,223.639436431,202.923123664,170.726811432,170.745291752
1391256000000,347.049342732,116.178889019,238.584902095,226.345204386,234.853844877,213.9142732,179.961575305,179.965978068
1391342400000,346.203450059,116.336954221,240.828334025,223.754269715,232.223184891,211.596512512,177.370428247,177.377088322
1391428800000,334.081279669,112.298104,229.996762427,213.508828688,219.847505168,199.854094576,168.451328639,167.928693572
1391515200000,333.397601178,112.12650296,265.815480899,228.879739406,238.16320182,211.606255768,176.340306396,176.118999697
1391601600000,335.045466845,112.734441917,295.393280723,250.917513876,262.97119757,230.6332012,187.595007198,187.870431117
