timestamp,"30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: market_cap-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: market_cap-weighted (max_weight=1, min_volume=0)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=100000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=1000000)","30 day balanced: volume-weighted (max_weight=0.2, min_volume=10000000)","30 day balanced: volume-weighted (max_weight=1, min_volume=0)",bitcoin
1417435200000,1880.26152509,262.973318357,16.5822310592,16.3732395977,49.827162686,70.6191632195,39.429319011,16.5822310592,16.3732395977,23.8664397577,265.3043624
1417521600000,1973.3885135,274.313156171,16.7464364835,16.5391245917,50.6265436819,73.4859518711,41.1295754686,16.7464364835,16.5391245917,24.206722201,266.648324061
1417608000000,1939.49066206,269.074741625,16.4482805107,16.0043656039,49.0836800967,72.1877376953,40.3441455262,16.4482805107,16.0043656039,23.527452596,262.337558183
1417694400000,1940.73695723,265.356003096,16.1577509373,15.4852709682,47.6659014672,71.4200704801,39.7865706031,16.1577509373,15.4852709682,22.8829751022,258.083155898
1417780800000,1951.03555006,265.908436821,16.3498570618,15.7831988069,48.5341248937,71.7516140804,39.8694006244,16.3498570618,15.7831988069,23.2669788878,260.565842736
1417867200000,1967.69888662,266.051757894,16.4539775549,15.9669570167,49.1084566889,72.4121458585,39.8908896954,16.4539775549,15.9669570167,23.5136984852,262.08268078
1417953600000,2016.87182607,270.642491245,16.6954164767,16.0124016859,49.3764276957,73.7903705115,40.5792085367,16.6954164767,16.0124016859,23.6667119639,262.455646672
1418040000000,1939.66197454,260.031181966,16.2444758881,15.2654529517,47.0854851735,71.2900120492,38.9881851534,16.2444758881,15.2654529517,22.6668743299,256.334112972
1418126400000,1872.32394461,251.986246044,15.222446165,13.9269535196,43.3421606749,69.3251078339,37.7819550048,15.222446165,13.9269535196,20.9542319367,245.096219615
1418212800000,1888.53224069,252.798147625,15.1492627621,13.8736597202,43.2610780356,69.6226249214,37.9036887482,15.1492627621,13.8736597202,20.9025795253,244.627268931
1418299200000,1945.33284439,258.86206972,15.471003787,14.4142069491,44.8996371628,71.2472316774,38.812892466,15.471003787,14.4142069491,21.614654325,249.392867734
1418385600000,1948.90089958,263.445470994,15.0658634857,13.8627063749,43.3477688128,70.7141547938,39.5001119608,15.0658634857,13.8627063749,20.9058186967,244.621869571
1418472000000,1941.16431751,260.334683885,14.9116822282,13.6775126789,42.8398258323,70.4724411588,39.0336911921,14.9116822282,13.6775126789,20.667772191,242.987901898
1418558400000,1954.32902863,262.03783149,15.0465272507,13.776509886,43.1476289784,70.744893827,39.289055313,15.0465272507,13.776509886,20.8160440178,243.867269522
1418644800000,1938.30709396,256.846543431,14.9278428473,13.6887514003,42.8867659811,70.3260644338,38.5106913548,14.9278428473,13.6887514003,20.6879630116,243.090533525
