"market_cap-weighted (max_weight=0.2, min_volume=0)","market_cap-weighted (max_weight=0.2, min_volume=10000)","market_cap-weighted (max_weight=1, min_volume=0)","market_cap-weighted (max_weight=1, min_volume=10000)",timestamp,"volume-weighted (max_weight=0.2, min_volume=0)","volume-weighted (max_weight=0.2, min_volume=10000)","volume-weighted (max_weight=1, min_volume=0)","volume-weighted (max_weight=1, min_volume=10000)"
774.071924517,149.646311844,27.2724613476,16.1935208163,1478433600000,375501.011042,371711.61098,609.60787829,594.926245488
759.879516887,147.187279216,26.5992611764,15.7974289067,1478520000000,357117.990303,353312.293904,588.317606964,574.072447969
768.999938981,149.026399648,26.7477374592,15.8850136769,1478606400000,370727.245557,366888.95688,598.775715527,584.297162421
772.668925817,149.466144557,28.5509579042,16.9629496649,1478692800000,376123.848033,372343.836792,634.736526764,619.496919606
766.680428795,148.51587992,27.470198448,16.3182678987,1478779200000,369340.311188,365729.018947,611.156776039,596.480018418
761.681581987,147.270041331,27.3590382485,16.247616493,1478865600000,362517.279978,359007.152807,606.450456977,591.932734825
765.797013622,148.407179454,26.8178397696,15.9269476801,1478952000000,373183.021527,369704.662549,603.906770514,589.459698774
754.706798003,146.124845277,25.9579754593,15.4099246927,1479038400000,367702.238672,364207.761676,587.604158344,573.510716471
759.226206369,147.123120575,26.3771103203,15.6620315085,1479124800000,372816.964675,369302.309356,598.05737891,583.781928979
759.626670979,146.899678176,26.8756790045,15.9570116123,1479211200000,371130.41759,367467.559221,606.723373222,592.215084951
766.252734955,148.091808215,27.211717624,16.1570599306,1479297600000,374520.557547,370487.249615,613.822667587,599.009621069
766.670284578,147.917205334,28.924478735,17.180258297,1479384000000,371354.013778,367361.46955,648.598472513,633.023296797
758.866336734,146.171329232,29.39121146,17.4575755873,1479470400000,365964.821382,361818.999114,656.461170492,640.665535862
755.764928152,145.312560593,29.2246404397,17.3544003879,1479556800000,365251.032605,361110.575822,653.301851814,637.574506624
756.807141915,145.387324362,29.4522623659,17.4891636993,1479643200000,366583.084003,362344.861636,658.91967027,643.04299991
744.521363315,143.033318541,28.1709479893,16.7227847442,1479729600000,360984.196185,356888.10933,629.914034371,614.718669817
761.591455955,146.453880668,28.7411316025,17.0645958463,1479816000000,379002.6034,374757.6261,646.640918908,631.078535856
756.483550755,145.133001201,28.8310947247,17.1142477367,1479902400000,377640.126994,373371.056716,648.456292199,632.841399736
745.665226449,143.121870033,28.3832137546,16.8481709179,1479988800000,384696.869707,380456.945886,645.660954678,630.107169422
739.570643514,141.746158256,28.3473926414,16.8242852553,1480075200000,387596.215557,383467.258962,646.004145438,630.477034433
733.890982008,140.605024174,28.176639717,16.7228241685,1480161600000,377105.583667,372776.118644,638.147789861,622.729669049
744.819962746,142.842502427,28.3130263293,16.7997961311,1480248000000,376160.992416,371764.123448,639.327245291,623.84265982
737.582632516,141.184343383,28.2659719428,16.7682414976,1480334400000,371477.85942,366801.378619,636.287291522,620.754326572
715.727014043,137.02229165,28.0576286829,16.6471038146,1480420800000,362401.16548,357700.077676,626.150073222,610.790579934
725.572633867,138.528508816,28.7934062094,17.0820514764,1480507200000,365845.653315,360992.996027,641.65042732,625.934818975
730.021006887,139.466092283,29.2014998977,17.3280288684,1480593600000,372683.046866,367608.723948,656.905558618,640.863261587
729.474679151,139.286746753,30.5164083907,18.1135025599,1480680000000,371200.708605,366182.48679,683.049210934,666.461531342
720.893475518,137.651853688,30.0672544499,17.845246048,1480766400000,373111.715496,368240.778996,674.356106524,657.972476341
724.309864146,137.90249725,30.2082466215,17.9209246403,1480852800000,374318.25255,369338.490079,676.568062663,660.062373209
694.311446856,132.041027374,28.9059662793,17.1453599914,1480939200000,353311.875869,348429.447135,643.737745473,627.924088382
679.789645274,129.105325057,29.4835979291,17.4863362205,1481025600000,338977.588279,334241.238019,632.172469643,616.625910173
748.165037894,135.807677361,30.0547116158,17.6990452098,1481112000000,360270.120008,355250.997924,664.064213963,647.754115356
783.75363614,143.443043343,30.8567129644,18.1912007677,1481198400000,384101.974068,378747.039095,694.378584283,677.298919267
781.791539548,142.840902636,30.7876342625,18.144966723,1481284800000,385032.557923,379687.486193,692.359624742,675.288998901
779.384399009,142.545138063,30.9511850795,18.2457307051,1481371200000,384282.115195,378627.395155,695.075412484,677.829313474
